programa_slug,programa_nombre,anio,mes,fecha_desembolso,zona,provincia,beneficiarios,monto_ejecutado_musd,es_dato_real,nota
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 6,Azuay,0,29.514959,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 5,Bolívar,0,16.795392,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 6,Cañar,0,14.144846,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 1,Carchi,0,10.806915,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 3,Chimborazo,0,28.128333,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 3,Cotopaxi,0,30.783116,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 7,El Oro,0,25.942267,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 1,Esmeraldas,0,44.331001,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 5,Galápagos,0,0.043972,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
bdh,Bono de Desarrollo Humano (BDH),2025,12,,Zona 5,Guayas,0,185.431028,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes. No incluye beneficiarios acumulados (el Excel no trae esa cifra para este periodo)."
