programa_slug,programa_nombre,anio,mes,fecha_corte,beneficiarios,monto_devengado_musd,es_dato_real,nota
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2023,11,2023-11-28,0,0.0,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2023,12,2023-12-28,239,0.041628,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2023,11,2023-11-28,0,0.00315,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2023,12,2023-12-28,30,0.048375,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2023,11,2023-11-28,0,0.0,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2023,12,2023-12-28,0,0.0,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,01,2024-01-28,247,0.045255,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,02,2024-02-28,252,0.044964,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,03,2024-03-28,255,0.045269,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,04,2024-04-28,260,0.045947,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,05,2024-05-28,260,0.045884,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,06,2024-06-28,272,0.048262,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,07,2024-07-28,286,0.051088,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,08,2024-08-28,295,0.051692,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,09,2024-09-28,298,0.05215,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,10,2024-10-28,311,0.054392,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,11,2024-11-28,312,0.054726,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2024,12,2024-12-28,316,0.05375,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,01,2024-01-28,199,0.053355,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,02,2024-02-28,90,0.04968,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,03,2024-03-28,121,0.043585,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,04,2024-04-28,124,0.05382,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,05,2024-05-28,209,0.07429,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,06,2024-06-28,170,0.06417,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,07,2024-07-28,124,0.06808,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,08,2024-08-28,153,0.056695,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,09,2024-09-28,138,0.06256,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,10,2024-10-28,138,0.058765,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,11,2024-11-28,131,0.063365,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,12,2024-12-28,64,0.04922,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,01,2024-01-28,9,0.0,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,02,2024-02-28,730,0.007176,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,03,2024-03-28,3625,0.620885,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,04,2024-04-28,1379,0.47783,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,05,2024-05-28,938,0.364032,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,06,2024-06-28,234,0.206016,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,07,2024-07-28,269,0.064165,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,08,2024-08-28,56,0.037889,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,09,2024-09-28,9,0.004424,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,10,2024-10-28,68,0.010618,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,11,2024-11-28,7,0.006707,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
